framework,fm,n_traces,n_present,prevalence_pct
ChatDev,1.1,1,1,100.0
ChatDev,1.2,1,0,0.0
ChatDev,1.3,1,0,0.0
ChatDev,1.4,1,0,0.0
ChatDev,1.5,1,0,0.0
ChatDev,2.1,1,0,0.0
ChatDev,2.2,1,0,0.0
ChatDev,2.3,1,0,0.0
ChatDev,2.4,1,0,0.0
ChatDev,2.5,1,0,0.0
ChatDev,2.6,1,1,100.0
ChatDev,3.1,1,0,0.0
ChatDev,3.2,1,1,100.0
ChatDev,3.3,1,0,0.0
AG2,1.1,1,0,0.0
AG2,1.2,1,0,0.0
AG2,1.3,1,0,0.0
AG2,1.4,1,0,0.0
AG2,1.5,1,0,0.0
AG2,2.1,1,0,0.0
AG2,2.2,1,0,0.0
AG2,2.3,1,0,0.0
AG2,2.4,1,1,100.0
AG2,2.5,1,0,0.0
AG2,2.6,1,1,100.0
AG2,3.1,1,0,0.0
AG2,3.2,1,0,0.0
AG2,3.3,1,0,0.0
AppWorld,1.1,1,0,0.0
AppWorld,1.2,1,0,0.0
AppWorld,1.3,1,0,0.0
AppWorld,1.4,1,0,0.0
AppWorld,1.5,1,0,0.0
AppWorld,2.1,1,0,0.0
AppWorld,2.2,1,1,100.0
AppWorld,2.3,1,0,0.0
AppWorld,2.4,1,0,0.0
AppWorld,2.5,1,0,0.0
AppWorld,2.6,1,1,100.0
AppWorld,3.1,1,0,0.0
AppWorld,3.2,1,0,0.0
AppWorld,3.3,1,0,0.0
HyperAgent,1.1,1,1,100.0
HyperAgent,1.2,1,0,0.0
HyperAgent,1.3,1,1,100.0
HyperAgent,1.4,1,0,0.0
HyperAgent,1.5,1,0,0.0
HyperAgent,2.1,1,1,100.0
HyperAgent,2.2,1,0,0.0
HyperAgent,2.3,1,1,100.0
HyperAgent,2.4,1,0,0.0
HyperAgent,2.5,1,0,0.0
HyperAgent,2.6,1,1,100.0
HyperAgent,3.1,1,0,0.0
HyperAgent,3.2,1,0,0.0
HyperAgent,3.3,1,1,100.0
MetaGPT,1.1,1,0,0.0
MetaGPT,1.2,1,0,0.0
MetaGPT,1.3,1,0,0.0
MetaGPT,1.4,1,0,0.0
MetaGPT,1.5,1,0,0.0
MetaGPT,2.1,1,0,0.0
MetaGPT,2.2,1,0,0.0
MetaGPT,2.3,1,0,0.0
MetaGPT,2.4,1,0,0.0
MetaGPT,2.5,1,0,0.0
MetaGPT,2.6,1,0,0.0
MetaGPT,3.1,1,1,100.0
MetaGPT,3.2,1,0,0.0
MetaGPT,3.3,1,0,0.0
MagenticOne,1.1,1,1,100.0
MagenticOne,1.2,1,0,0.0
MagenticOne,1.3,1,0,0.0
MagenticOne,1.4,1,0,0.0
MagenticOne,1.5,1,0,0.0
MagenticOne,2.1,1,0,0.0
MagenticOne,2.2,1,0,0.0
MagenticOne,2.3,1,0,0.0
MagenticOne,2.4,1,0,0.0
MagenticOne,2.5,1,0,0.0
MagenticOne,2.6,1,1,100.0
MagenticOne,3.1,1,0,0.0
MagenticOne,3.2,1,0,0.0
MagenticOne,3.3,1,0,0.0
OpenManus,1.1,1,1,100.0
OpenManus,1.2,1,1,100.0
OpenManus,1.3,1,1,100.0
OpenManus,1.4,1,0,0.0
OpenManus,1.5,1,0,0.0
OpenManus,2.1,1,0,0.0
OpenManus,2.2,1,1,100.0
OpenManus,2.3,1,1,100.0
OpenManus,2.4,1,0,0.0
OpenManus,2.5,1,0,0.0
OpenManus,2.6,1,1,100.0
OpenManus,3.1,1,0,0.0
OpenManus,3.2,1,0,0.0
OpenManus,3.3,1,1,100.0
