group,name,retractions,n,rate_%,CI_low_%,CI_high_%,flag
overall,Overall,143,801,17.9,15.4,20.7,
framework,ChatDev,42,240,17.5,13.2,22.8,
framework,HyperAgent,47,307,15.3,11.7,19.8,
framework,MetaGPT,54,254,21.3,16.7,26.7,
FM,1.3 — Step Repetition,8,151,5.3,2.7,10.1,
FM,2.6 — Action-Reasoning Mismatch,17,151,11.3,7.1,17.3,
FM,1.1 — Disobey Task Specification,13,101,12.9,7.7,20.8,
FM,3.3 — Incorrect Verification,7,88,8.0,3.9,15.5,
FM,1.4 — Loss of Conv. History,14,67,20.9,12.9,32.1,
FM,2.3 — Task Derailment,29,62,46.8,34.9,59.0,
FM,1.5 — Unaware of Termination,7,36,19.4,9.8,35.0,
FM,2.1 — Conversation Reset,12,36,33.3,20.2,49.7,
FM,2.2 — Fail to Ask for Clarification,11,36,30.6,18.0,46.9,
FM,1.2 — Disobey Role Specification,13,34,38.2,23.9,55.0,
FM,3.1 — Premature Termination,6,19,31.6,15.4,54.0,
FM,2.4 — Information Withholding,5,11,45.5,21.3,72.0,
FM,3.2 — No / Incomplete Verification,0,7,0.0,0.0,35.4,n<10
FM,2.5 — Ignored Agent Input,1,2,50.0,9.5,90.5,n<10
